Nitrogen,Phosphorous,potassium,organiccarbon,pH,,,
489,40,269,0.695703396,6,,,
468,47,282,0.71421507,5,,,
437,48,282,0.587682623,7,,,
454,50,276,0.57761965,6,,,
503,42,242,0.482500043,8,,,
534,38,284,0.601774702,5,,,
477,47,265,0.57756965,7,,,
502,39,239,0.465570502,5,,,
404,44,235,0.388865001,7,,,
490,48,270,0.468504314,7,,,
530,49,265,0.756598517,7,,,
334,39,248,0.574373591,7,,,
341,38,272,0.739902532,6,,,
434,42,247,0.703612191,8,,,
456,41,244,0.471348598,4,,,
312,46,238,0.645622218,5,,,
471,43,277,0.573375817,6,,,
411,46,288,0.55035663,6,,,
520,38,278,0.41068217,6,,,
514,40,264,0.547705265,6,,,
367,41,247,0.580884882,8,,,
529,45,257,0.587877728,6,,,
405,46,256,0.464274073,7,,,
316,51,258,0.418155386,5,,,
498,38,249,0.45060186,6,,,
518,45,289,0.413277145,8,,,
341,41,253,0.585405523,6,,,
398,40,263,0.555986209,8,,,
488,42,241,0.544635311,6,,,
301,51,256,0.694078542,8,,,
422,46,287,0.455114414,6,,,
489,47,288,0.596876017,7,,,
418,48,265,0.383563456,6,,,
468,49,260,0.549062289,8,,,
546,39,249,0.61080004,5,,,
297,43,246,0.592672055,8,,,
353,40,274,0.645647317,5,,,
398,40,240,0.473605019,7,,,
532,50,270,0.65528552,5,,,
330,38,233,0.469128485,6,,,
292,49,265,0.450490604,5,,,
469,39,266,0.618072634,6,,,
369,43,282,0.423936067,5,,,
525,39,256,0.621036153,8,,,
308,47,283,0.746303415,5,,,
308,45,237,0.719641498,6,,,
337,51,261,0.620530422,7,,,
